"Format","AiM CSV File"
"Session","Sodegaura"
"Vehicle","RS660"
"Racer","Mao"
"Championship",""
"Comment","Ripa"
"Date","Saturday, April 25, 2026"
"Time","2:58 PM"
"Sample Rate","20"
"Duration","977.993"
"Segment","Session"
"Beacon Markers","303.381","388.57","473.951","562.23","649.566","733.329","818.162","977.993"
"Segment Times","5:03.381","1:25.189","1:25.381","1:28.279","1:27.336","1:23.763","1:24.833","2:39.831"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RPM dup 2","Throttle","Gear","Speed Rear","Lean Angle","Engine Brake"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","rpm","%","gear","km/h","deg","#"

"4.850","0.1312","12","0.0000","0.0000","1.1990","21.9928","0.0000","144.3693","15.0925","0.1585","10000.0000","35.39478471","140.08805202","1481.4258","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.900","0.0712","12","0.0000","0.0000","-7.9051","103.8832","0.0000","144.3618","15.0000","0.1400","10000.0000","35.39478476","140.08805203","1485.2500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.950","0.0446","12","0.0000","0.0000","-11.0180","80.7122","0.0000","144.3463","15.0000","0.1400","10000.0000","35.39478486","140.08805205","1507.7500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"5.000","0.0089","12","0.0000","0.0000","0.7257","16.2667","0.0000","144.3369","14.9175","0.1400","10000.0000","35.39478492","140.08805206","1516.7500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"5.050","0.0471","12","0.0000","0.0000","1.7276","141.5294","0.0000","144.3365","14.9000","0.1500","10000.0000","35.39478503","140.08805231","1512.2500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"5.100","0.0000","12","0.0000","0.0000","0.0000","0.0000","0.0000","144.3376","14.8675","0.1532","10000.0000","35.39478506","140.08805248","1504.2500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"5.150","0.0585","12","0.0000","0.0000","1.0739","87.9777","0.0000","144.3389","14.8000","0.1542","10000.0000","35.39478519","140.08805268","1492.7500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"5.200","0.1539","12","0.0000","0.0000","8.8281","135.9440","0.0000","144.3404","14.8000","0.1417","10000.0000","35.39478523","140.08805291","1488.2500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"5.250","0.1023","12","0.0000","0.0000","2.2657","136.1914","0.0000","144.3412","14.7925","0.1493","10000.0000","35.39478534","140.08805303","1490.7500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"5.300","0.1167","12","0.0000","0.0000","9.9324","-59.3152","0.0000","144.3419","14.7000","0.1400","10000.0000","35.39478548","140.08805313","1489.7500","0.0000","0.0000","0.0000","-0.0001","1.0000"
